read_id	left_alignments	right_alignments	total_target_placements	left_mapq	right_mapq	classification	independent_alignment_support
SRR38978847.7296	1	1	3	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.16509	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.24316	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.25438	1	1	3	2	60	NON_UNIQUE_ANCHOR	False
SRR38978847.28383	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.30651	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.33837	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.35849	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.46573	1	1	3	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.47950	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.49755	2	2	6	1	60	COPY_AMBIGUOUS	False
SRR38978847.50142	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.52937	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.53561	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.55823	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.57115	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.64418	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.67754	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.68752	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.70497	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.71060	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.71292	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.78770	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.88008	1	1	5	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.90578	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.93107	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.93935	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.93949	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.98103	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.98695	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.98806	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.100735	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.101234	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.103100	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.103202	1	1	3	4	60	NON_UNIQUE_ANCHOR	False
SRR38978847.109141	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.110127	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.116798	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.117648	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.117685	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.120163	1	1	3	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.123026	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.127702	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.135210	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.138450	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.139433	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.140984	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.144361	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.147929	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.148168	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.150809	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.150954	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.154833	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.164837	2	2	6	1	60	COPY_AMBIGUOUS	False
SRR38978847.164894	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.165935	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.173058	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.173595	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.173901	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.175802	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.176441	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.187315	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.189880	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.192860	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.193883	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.195436	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.196673	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.198857	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.200520	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.201258	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.204400	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.204608	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.205806	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.207472	1	1	3	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.208046	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.208866	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.210752	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.211416	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.213206	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.214438	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.219596	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.220188	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.223604	1	1	4	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.227472	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.230909	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.232422	1	1	3	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.235586	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.240749	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.242630	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.243243	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.251243	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.254218	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.257392	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.261646	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.263260	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.265741	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.269051	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.270740	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.273480	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.274419	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.275022	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.283937	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.288411	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.291473	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.293600	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.295993	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.297809	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.299364	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.303793	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.303880	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.304559	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.307858	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.308662	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.311246	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.311765	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.313440	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.315297	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
